Unnamed: 0,STATE,DISTRICT,COLLEGE NAME,INTERNATIONAL DIAL CODE ,ADDRESS,DEPARTMENTS,HOD/FACULTY DETAILS,EMAIL ID,PHONE NUMBER,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
52,ANDHRA PRADESH,EAST GODAVARI,BONAM VENKATA CHALAMAYYA ENGINEERING COLLEGE,1-2812954465,"Allavaram, Odalarevu, Andhra Pradesh 533210","CSE, ECE, EEE, Mech","Dr. DSV Prasad,Principal
Ph. 93925 22444",,,1,,,
53,ANDHRA PRADESH,KURNOOL,G.PULLA REDDY ENGINEERING COLLEGE,1-2812957737,"G.Pulla Reddy Nagar, Nandyal Road, Kurnool, Andhra Pradesh 518007","Civil, CSE, ECE, EEE, Mech",,,,1,,,
54,ANDHRA PRADESH,VIZIANAGARAM,GOKUL INSTITUTE OF TECHNOLOGY AND SCIENCES,1-2812962414,PIRIDI (VILLAGE) BOBBILI (MANDAL) VIZIANAGARAM (DIST) ANDHRAPRADESH STATE PIN- 535568,"Civil, CSE, ECE, EEE, Mech",,,,1,,,
55,ANDHRA PRADESH,VISHAKHAPATNAM,ANAKAPALLE MERCHANTS ASSOCIATION KONATHALA SUBRAHMANYAM & IMMEDISETTY KANAKARAJU COLLEGE OF TECHNOLO,1-2812983774,KOTHURU VILLAGE ANAKAPALLE MANDAL ANAKAPALLE VISAKHA DIST. ANDHRA PRADESH 531001,"Civil, CSE, ECE, Mech",,,,1,,,
56,ANDHRA PRADESH,SRIKAKULAM,SARADA INSTITUTE OF SCIENCE TECHNOLOGY AND MANAGEMENT,1-2812986745,AMPOLU ROAD GARA MANDAL SRIKAKULAM-PIN 532404 ANDHRA PRADESH,"CSE, EEE, ECE, MECH, CIVIL",,,,1,,,
57,ANDHRA PRADESH,CHITTOOR,ANNAMACHARYA INSTITUTE OF TECHNOLOGY AND SCIENCES,1-2812990539,"VENKATAPURAM (VILLAGE), MANGALAM ROAD, KARAKAMBADI(POST), RENIGUNTA(MANDAL),TIRUPATI-517520, CHITTOOR DIST","CIVIL, CSE, ECE, EEE, IT, MECH",,,,2,,,
58,ANDHRA PRADESH,GUNTUR,NEWTON'S INSTITUTE OF ENGINEERING,1-2813023545,ALUGURAJU PALLY VILLAGE KOPPUNORU POST MACHERLA GUNTUR DT,"ECE, CSE, EEE",,,,1,,,
59,ANDHRA PRADESH,GUNTUR,PNC&VIJAI INSTITUTE OF ENGINEERING & TECHNOLGOY,1-2813030612,"REPUDI (V), PHIRANGIPURAM (M), GUNTUR DIST. ANDHRA PRADESH","ECE, EEE, CSE, MECH",,,,1,,,
60,ANDHRA PRADESH,ANANTAPUR,ST.MARK EDUCATIONAL INSTITUTION SOCIETY GROUP OF INSTITUTION (INTEGRATED CAMPUS),1-2813031408,"ST.MARK CAMPUS,BELLARY ROAD ,RACHANAPALLY,ANANTAPUR","CIVIL, EEE, ECE, MECH, CSE",,,,1,,,
61,ANDHRA PRADESH,NELLORE,BRAHMAIAH COLLEGE OF ENGINEERING,1-2813034103,"NH-5, NORTH RAJU PALEM, KODAVALURU MANDAL, NELLORE DISTRICT, ANDHRA PRADESH, PIN:524366","CIVIL, EEE, ECE, MECH, CSE",,,,1,,,
62,ANDHRA PRADESH,WEST GODAVARI,SHRI VISHNU ENGINEERING COLLEGE FOR WOMEN,1-2813036143,"VISHNUPUR, BHIMAVARAM","CIVIL, EEE, ECE, IT, CSE",,,,2,,,
63,ANDHRA PRADESH,KURNOOL,KOTTAM KARUNAKARA REDDY INSTITUTE OF TECHNOLOGY,1-2813038318,SURVEY NO. 341 CHINNA TEKURU (VILLAGE) KALLUR (M) KURNOOL ANDHRA PRADESH,"CIVIL, EEE, ECE, MECH, CSE",,,,1,,,
64,ANDHRA PRADESH,KRISHNA,ANDHRA LOYOLA INSTITUTE OF ENGINEERING AND TECHNOLOGY,1-2813038946,"GOVERNMENT POLYTECHNIC POST OFFICE, VIJAYAWADA-520008, KRISHNA DISTRICT, ANDHRA PRADESH","CIVIL, EEE, ECE, IT, CSE",,,,2,,,
65,ANDHRA PRADESH,CHITTOOR,SHREE RAMA EDUCATIONAL SOCIETY GROUP OF INSTITUTIONS,1-2813039874,"RAMI REDDY NAGAR, KARAKAMBADI ROAD, MANGALAM BO TIRUPATI URABAN MANDAL TIRUPATI - 517 507 CHITTOOR DIST. A.P.","CIVIL, EEE, ECE, MECH, CSE",,,,1,,,
66,ANDHRA PRADESH,KRISHNA,PALADUGU PARVATHI DEVI COLLEGE OF ENGINEERING AND TECHNOLOGY,1-2813044073,SURAMPALLI VILLAGE VIA NUNNA VIJAYAWADA RURAL KRISHNA DISTRICT - 521212 ANDHRA PRADESH,"CIVIL, EEE, ECE, MECH, CSE",,,,1,,,
67,ANDHRA PRADESH,GUNTUR,MALINENI PERUMALLU EDUCATIONAL SOCIETY'S GROUP OF INSTITUTIONS(INTEGRATED CAMPUS),1-2813045593,"PULLADIGUNTA (V), VATTICHERUKURU (MD), GUNTUR (DT) - 522017","CIVIL, EEE, ECE, MECH, CSE",,,,1,,,
68,ANDHRA PRADESH,VISHAKHAPATNAM,"WELLFARE INSTITUTE OF SCIENCE, TECHNOLOGY AND MANAGEMENT",1-2813048731,"PINAGADI (V), PENDURTHY(M), VISAKHAPATNAM-531173. ANDHRA PRADESH.","CIVIL, EEE, ECE, MECH, CSE",,,,1,,,
69,ANDHRA PRADESH,CHITTOOR,CHADALAWADA RAMANAMMA ENGINEERING COLLEGE,1-2813057009,"CHADALAWADA NAGAR, RENIGUNTA ROAD, TIRUPATI","CIVIL, EEE, ECE, MECH, CSE, IT",,,,2,,,
70,ANDHRA PRADESH,PRAKASAM,ST. ANN'S COLLEGE OF ENGINEERING & TECHNOLOGY,1-2813061923,NAYUNIPALLI VILLAGE CHALLAREDDYPALEM VETAPALEM MANDAL PRAKASAM DISTRICT,"CIVIL, EEE, ECE, MECH, CSE",,,,1,,,
71,ANDHRA PRADESH,WEST GODAVARI,NOVA COLLEGE OF ENGINEERING & TECHNOLOGY,1-2813064175,VEGAVARAM VILLAGE JANGAREDDY GUDEM MANDAL WEST GODAVARI DISTRCIT ANDHRA PRADESH PIN:534447,"CIVIL, EEE, ECE, MECH, CSE, IT",,,,2,,,
72,ANDHRA PRADESH,ANANTAPUR,SHRI SHIRDI SAI INSTITUTE OF SCIENCE AND ENGINEERING,1-2813071563,"#2-383, WARD NO. 10,VADIYAMPETA(POST), PODARALLA (VILLAGE), BUKKARAYASAMUDRAM (M), ANANTAPUR - 515731.` ANDHRA PRADESH.","CIVIL, EEE, ECE, MECH, CSE",,,,1,,,
73,ANDHRA PRADESH,PRAKASAM,BUCHEPALLI VENKAYAMMA SUBBAREDDY ENGINEERING COLLEGE,1-2813072640,KURNOOL ROAD,"CIVIL, EEE, ECE, MECH, CSE",,,,1,,,
74,ANDHRA PRADESH,ANANTAPUR,ANANTHA LAKSHMI INSTITUTE OF TECHNOLOGY & SCIENCES,1-2813074366,"ITIKAKAPALLI NEAR SK UNIVERSITY ITIKALAPALLI, ANANTAPUR","CIVIL, EEE, ECE, MECH, CSE",,,,1,,,
75,ANDHRA PRADESH,KRISHNA,NIMRA INSTITUTE OF SCIENCE & TECHNOLOGY,1-2813075511,"NIMRA NAGAR ,JUPUDI,IBRAHIMPATNAM, VIJAYAWADA, KRISHNA DIST. ANDHRA PRADESH PIN:521456","AERO, EEE, ECE, MECH, CSE",,,,1,,,
76,ANDHRA PRADESH,GUNTUR,KRISHNAVENI ENGINEERING COLLEGE FOR WOMEN,1-2813081307,VILLAGE KESANUPALLI TALUK NARASARAOPET DISTRICT GUNTUR STATE ANDHRA PRADESH PIN CODE 522 601,"CSE, ECE",,,,1,,,
77,ANDHRA PRADESH,KRISHNA,RGUKT-NUZIVID,1-2813089948,"MYLAVARAM ROAD, NUZIVID, KRISHNA DISTRICT.HEAD OFFICE : RGUKT VINDHYA C-4, IIITH CAMPUS, GACHIBOWLI, HYDERABAD","CIVIL, EEE, ECE, MECH, CSE, CHEM, METALLURGY",,,,1,,,
78,ANDHRA PRADESH,YSR DISTRICT,VAAGDEVI INSTITUTE OF TECHNOLOGY & SCIENCE,1-2813090851,PEDDASETTIPALLY(VILLAGE) PRODDATUR(MANDAL) CUDDAPAH(DT) ANDHRA PRADESH- 516 360,"ECE, EEE, CSE",,,,1,,,
79,ANDHRA PRADESH,WEST GODAVARI,DNR COLLEGE OF ENGINEERING & TECHNOLOGY,1-2813096470,"DNR COLLEGE OF ENGINEERING & TECHNOLOGY, BALUSUMUDI,","CIVIL, EEE, ECE, MECH",,,,1,,,
80,ANDHRA PRADESH,VIZIANAGARAM,AVANTHI'S RESEARCH & TECHNOLOGICAL ACADEMY,1-2813097011,"AVANTHI'S RESEARCH & TECHNOLOGICAL ACADEMY BASAVAPALEM VILLAGE, BHOGAPURAM MANDALAM, VIZIANAGARAM DISTRICT.","CIVIL, EEE, ECE, MECH, CSE",,,,1,,,
81,ANDHRA PRADESH,VISHAKHAPATNAM,BABA INSTITUTE OF TECHNOLOGY AND SCIENCES,1-2813098628,"P M PALEM, MADHURAWADA","CIVIL, EEE, ECE, MECH, CSE",,,,1,,,
82,ANDHRA PRADESH,NELLORE,JAGAN'S COLLEGE OF ENGINEERING AND TECHNOLOGY,1-2813101509,CHOUTAPALEM VENKATACHALAM MANDAL SPSR NELLORE DISTRICT 524320,"CIVIL, EEE, ECE, MECH, CSE",,,,1,,,
83,ANDHRA PRADESH,VISHAKHAPATNAM,ANIL NEERUKONDA INSTITUTE OF TECHNOLOGY & SCIENCES,1-2813101985,"SANGIVALASA BHEEMUNIPATNAM MANDAL VISAKHAPATANAM  531 162 TEL: 08933-225083, 84 & 85 FAX: 08933-226395 WEBSITE: WWW.ANITS.EDU.IN E-MAIL: PRINC","CIVIL, EEE, ECE, MECH, CSE, CHEM, IT",,,,2,,,
84,ANDHRA PRADESH,VIZIANAGARAM,"AVANTHI S ST.THERESSA INSTITUTE OF ENGINEERING AND TECHNOLOGY,GARIVIDI",1-2813111906,"GARBHAM ROAD, GARIVIDI (CHEEPURUPALLI), VIZIANAGARAM DISTRICT","EEE, ECE, MECH, CSE",,,,1,,,
